"no_tulips"
"1"	24
"2"	19
"3"	22
"4"	27
"5"	25
"6"	22
"7"	24
"8"	13
"9"	25
"10"	16
"11"	25
"12"	16
"13"	14
"14"	25
"15"	20
"16"	25
"17"	25
"18"	22
"19"	15
"20"	23
"21"	29
"22"	15
"23"	16
"24"	21
"25"	24
"26"	22
"27"	22
"28"	22
"29"	22
"30"	27
"31"	27
"32"	20
"33"	20
"34"	23
"35"	24
"36"	25
"37"	25
"38"	26
"39"	17
"40"	24
"41"	24
"42"	21
"43"	11
"44"	12
"45"	24
"46"	23
"47"	25
"48"	22
"49"	11
"50"	19
"51"	19
"52"	26
"53"	13
"54"	20
"55"	18
"56"	28
"57"	20
"58"	26
"59"	27
"60"	17
"61"	25
"62"	10
"63"	25
"64"	28
"65"	26
"66"	20
"67"	28
"68"	18
"69"	10
"70"	27
"71"	24
"72"	23
"73"	17
"74"	18
"75"	22
"76"	23
"77"	11
"78"	26
"79"	24
"80"	24
"81"	23
"82"	22
"83"	25
"84"	24
"85"	9
"86"	23
"87"	23
"88"	11
"89"	25
"90"	18
"91"	14
"92"	24
"93"	11
"94"	12
"95"	10
"96"	24
"97"	16
"98"	18
"99"	18
"100"	22
